soundname	value
russian_d33	сахар_2
russian_d33	сахар_3
russian_d33	сахар_cf
russian_d44	коса_1
russian_d44	коса_2
russian_d44	коса_3
russian_d44	коса_4
russian_d44	осанка_1
russian_d44	осанка_2
russian_d44	осанка_3
russian_d44	осанка_4
russian_d44	сахар_1
russian_d44	сахар_2
russian_d44	сахар_3
russian_d44	сахар_4
adyghe_d45	ħisap_1
adyghe_d45	ħisap_2
adyghe_d45	ħisap_3
adyghe_d45	ħisap_cf
adyghe_d45	sapɐ_1
adyghe_d45	sapɐ_2
adyghe_d45	sapɐ_3
adyghe_d45	sapɐ_4
adyghe_d46	ħisap_1
adyghe_d46	ħisap_2
adyghe_d46	ħisap_3
adyghe_d46	ħisap_cf
adyghe_d46	sapɐ_1
adyghe_d46	sapɐ_2
adyghe_d46	sapɐ_3
adyghe_d46	sapɐ_cf
adyghe_d48	ħisap_1
adyghe_d48	ħisap_2
adyghe_d48	sapɐ_1
adyghe_d48	sapɐ_2
adyghe_d48	sapɐ_3
adyghe_d48	sapɐ_cf
ubykh_d51_listeV	sa_1
ubykh_d51_listeV	sa_2
ubykh_d51_listeV	sa_3
ubykh_d51_listeV	sa_4
udmurt_d6_sajkanə	sajkanə_1
udmurt_d6_sajkanə	sajkanə_2
udmurt_d6_sajkət	sajkət_1
udmurt_d6_sajkət	sajkət _2
udmurt_d7_sajkač_kənə	sajkač'kənə_1
udmurt_d7_sajkač_kənə	sajkač'kənə_2
udmurt_d7_sajkač_kənə	sajkač'kənə_3
udmurt_d7_sajkatənə	sajkatənə_1
udmurt_d7_sajkatənə	sajkatənə_2
udmurt_d7_sajkatənə	sajkatənə_3
udmurt_d7_sajkomənə	sajkomənə_1
udmurt_d7_sajkomənə	sajkomənə_2
udmurt_d8_sajkač_ke	sajkač'ke_1
udmurt_d8_sajkač_ke	sajkač'ke_2
udmurt_d8_sajkač_ke	sajkač'ke_3
udmurt_d8_sajkišʼkənə	sajkišʼkənə_1
udmurt_d8_sajkišʼkənə	sajkišʼkənə_2
udmurt_d8_sajkišʼkənə	sajkišʼkənə_3
udmurt_d9_sajkanə	sajkanə_1
udmurt_d9_sajkanə	sajkanə_2
udmurt_d9_sajkanə	sajkanə_3
udmurt_d9_sajkanə	sajkanə_4
udmurt_d9_sajkanə	sajkanə_5
udmurt_d9_sajkaz	sajkaz_1
udmurt_d9_sajkaz	sajkaz_2
udmurt_d9_sajkət	sajkət_1
udmurt_d9_sajkət	sajkət_2
udmurt_d9_sajkət	sajkət_3
